date,symbol,asset_type,market_value,current_weight,target_weight,weight_gap,total_value,cash
2022-11-01,601318,stock,0.0,0.0,0.04,0.04,487177.1531800001,110882.35318000002
2022-12-01,510300,etf,82714.8,0.157395371126343,0.3,0.142604628873657,525522.44331,113172.44331000003
2022-12-01,510500,etf,98770.0,0.18794630230803797,0.2,0.012053697691962045,525522.44331,113172.44331000003
2022-12-01,515180,etf,151745.19999999998,0.28875113124424096,0.2,-0.08875113124424094,525522.44331,113172.44331000003
2022-12-01,518880,etf,79120.0,0.15055494014996418,0.1,-0.05055494014996417,525522.44331,113172.44331000003
2022-12-01,000333,stock,0.0,0.0,0.04,0.04,525522.44331,113172.44331000003
2022-12-01,000858,stock,0.0,0.0,0.04,0.04,525522.44331,113172.44331000003
2022-12-01,600036,stock,0.0,0.0,0.04,0.04,525522.44331,113172.44331000003
2022-12-01,600519,stock,0.0,0.0,0.04,0.04,525522.44331,113172.44331000003
2022-12-01,601318,stock,0.0,0.0,0.04,0.04,525522.44331,113172.44331000003
2023-01-03,510300,etf,82554.5,0.15714496331145708,0.3,0.1428550366885429,525339.77711,115188.07711000003
2023-01-03,510500,etf,95118.0,0.18105996184652776,0.2,0.018940038153472255,525339.77711,115188.07711000003
2023-01-03,515180,etf,144765.19999999998,0.27556489401275214,0.2,-0.07556489401275213,525339.77711,115188.07711000003
2023-01-03,518880,etf,87714.0,0.16696622609186837,0.1,-0.06696622609186836,525339.77711,115188.07711000003
2023-01-03,000333,stock,0.0,0.0,0.04,0.04,525339.77711,115188.07711000003
2023-01-03,000858,stock,0.0,0.0,0.04,0.04,525339.77711,115188.07711000003
2023-01-03,600036,stock,0.0,0.0,0.04,0.04,525339.77711,115188.07711000003
2023-01-03,600519,stock,0.0,0.0,0.04,0.04,525339.77711,115188.07711000003
2023-01-03,601318,stock,0.0,0.0,0.04,0.04,525339.77711,115188.07711000003
2023-02-01,510300,etf,89539.0,0.160697885898194,0.3,0.13930211410180598,557188.4129,117436.31290000002
2023-02-01,510500,etf,101841.0,0.18277659341469052,0.2,0.017223406585309492,557188.4129,117436.31290000002
2023-02-01,515180,etf,155915.5,0.2798254529172748,0.2,-0.07982545291727478,557188.4129,117436.31290000002
2023-02-01,518880,etf,92456.6,0.16593417569254698,0.1,-0.06593417569254698,557188.4129,117436.31290000002
2023-02-01,000333,stock,0.0,0.0,0.04,0.04,557188.4129,117436.31290000002
2023-02-01,000858,stock,0.0,0.0,0.04,0.04,557188.4129,117436.31290000002
2023-02-01,600036,stock,0.0,0.0,0.04,0.04,557188.4129,117436.31290000002
2023-02-01,600519,stock,0.0,0.0,0.04,0.04,557188.4129,117436.31290000002
2023-02-01,601318,stock,0.0,0.0,0.04,0.04,557188.4129,117436.31290000002
2023-03-01,510300,etf,87936.0,0.15416342054412135,0.3,0.14583657945587863,570407.68614,120021.48614000002
2023-03-01,510500,etf,109843.8,0.19257068701742583,0.2,0.007429312982574182,570407.68614,120021.48614000002
2023-03-01,515180,etf,161551.00000000003,0.28322023690324044,0.2,-0.08322023690324043,570407.68614,120021.48614000002
2023-03-01,518880,etf,91055.4,0.15963214068200948,0.1,-0.05963214068200948,570407.68614,120021.48614000002
2023-03-01,000333,stock,0.0,0.0,0.04,0.04,570407.68614,120021.48614000002
2023-03-01,000858,stock,0.0,0.0,0.04,0.04,570407.68614,120021.48614000002
2023-03-01,600036,stock,0.0,0.0,0.04,0.04,570407.68614,120021.48614000002
2023-03-01,600519,stock,0.0,0.0,0.04,0.04,570407.68614,120021.48614000002
2023-03-01,601318,stock,0.0,0.0,0.04,0.04,570407.68614,120021.48614000002
2023-04-03,510300,etf,87020.0,0.14970169571868785,0.3,0.15029830428131213,581289.34066,122592.24066000002
2023-04-03,510500,etf,117477.0,0.2020972892202286,0.2,-0.0020972892202285875,581289.34066,122592.24066000002
2023-04-03,515180,etf,158805.5,0.2731952728045746,0.2,-0.07319527280457461,581289.34066,122592.24066000002
2023-04-03,518880,etf,95394.6,0.16410863459441438,0.1,-0.06410863459441438,581289.34066,122592.24066000002
2023-04-03,000333,stock,0.0,0.0,0.04,0.04,581289.34066,122592.24066000002
2023-04-03,000858,stock,0.0,0.0,0.04,0.04,581289.34066,122592.24066000002
2023-04-03,600036,stock,0.0,0.0,0.04,0.04,581289.34066,122592.24066000002
2023-04-03,600519,stock,0.0,0.0,0.04,0.04,581289.34066,122592.24066000002
2023-04-03,601318,stock,0.0,0.0,0.04,0.04,581289.34066,122592.24066000002
2023-05-04,510300,etf,85760.5,0.14221222542495132,0.3,0.15778777457504867,603045.90371,124630.40371
2023-05-04,510500,etf,114722.0,0.19023759102618645,0.2,0.009762408973813558,603045.90371,124630.40371
2023-05-04,515180,etf,175969.0,0.2918003404341539,0.2,-0.09180034043415392,603045.90371,124630.40371
2023-05-04,518880,etf,101963.99999999999,0.16908165592819227,0.1,-0.06908165592819226,603045.90371,124630.40371
2023-05-04,000333,stock,0.0,0.0,0.04,0.04,603045.90371,124630.40371
2023-05-04,000858,stock,0.0,0.0,0.04,0.04,603045.90371,124630.40371
2023-05-04,600036,stock,0.0,0.0,0.04,0.04,603045.90371,124630.40371
2023-05-04,600519,stock,0.0,0.0,0.04,0.04,603045.90371,124630.40371
2023-05-04,601318,stock,0.0,0.0,0.04,0.04,603045.90371,124630.40371
2023-06-01,510300,etf,80837.0,0.1362214063912152,0.3,0.1637785936087848,593423.61925,126786.01924999998
2023-06-01,510500,etf,111378.0,0.18768717049173975,0.2,0.012312829508260265,593423.61925,126786.01924999998
2023-06-01,515180,etf,170607.00000000003,0.2874961401361512,0.2,-0.0874961401361512,593423.61925,126786.01924999998
2023-06-01,518880,etf,103815.6,0.17494349168509274,0.1,-0.07494349168509273,593423.61925,126786.01924999998
2023-06-01,000333,stock,0.0,0.0,0.04,0.04,593423.61925,126786.01924999998
2023-06-01,000858,stock,0.0,0.0,0.04,0.04,593423.61925,126786.01924999998
2023-06-01,600036,stock,0.0,0.0,0.04,0.04,593423.61925,126786.01924999998
2023-06-01,600519,stock,0.0,0.0,0.04,0.04,593423.61925,126786.01924999998
2023-06-01,601318,stock,0.0,0.0,0.04,0.04,593423.61925,126786.01924999998
2023-07-03,510300,etf,83516.29999999999,0.13754693632845158,0.3,0.1624530636715484,607184.0073599999,128920.50735999997
2023-07-03,510500,etf,111796.0,0.1841221090227366,0.2,0.015877890977263415,607184.0073599999,128920.50735999997
2023-07-03,515180,etf,176616.0,0.2908772264406566,0.2,-0.0908772264406566,607184.0073599999,128920.50735999997
2023-07-03,518880,etf,106335.2,0.17512845976022845,0.1,-0.07512845976022844,607184.0073599999,128920.50735999997
2023-07-03,000333,stock,0.0,0.0,0.04,0.04,607184.0073599999,128920.50735999997
2023-07-03,000858,stock,0.0,0.0,0.04,0.04,607184.0073599999,128920.50735999997
2023-07-03,600036,stock,0.0,0.0,0.04,0.04,607184.0073599999,128920.50735999997
2023-07-03,600519,stock,0.0,0.0,0.04,0.04,607184.0073599999,128920.50735999997
2023-07-03,601318,stock,0.0,0.0,0.04,0.04,607184.0073599999,128920.50735999997
2023-08-01,510300,etf,86699.4,0.1366617487715954,0.3,0.1633382512284046,634408.6826,131045.0826
2023-08-01,510500,etf,113259.0,0.1785268756660614,0.2,0.02147312433393861,634408.6826,131045.0826
2023-08-01,515180,etf,192755.19999999998,0.3038344292673147,0.2,-0.10383442926731468,634408.6826,131045.0826
2023-08-01,518880,etf,110650.0,0.17441438466214335,0.1,-0.07441438466214334,634408.6826,131045.0826
2023-08-01,000333,stock,0.0,0.0,0.04,0.04,634408.6826,131045.0826
2023-08-01,000858,stock,0.0,0.0,0.04,0.04,634408.6826,131045.0826
2023-08-01,600036,stock,0.0,0.0,0.04,0.04,634408.6826,131045.0826
2023-08-01,600519,stock,0.0,0.0,0.04,0.04,634408.6826,131045.0826
2023-08-01,601318,stock,0.0,0.0,0.04,0.04,634408.6826,131045.0826
2023-09-01,510300,etf,82027.8,0.13048293862771165,0.3,0.16951706137228834,628647.70569,133514.60569
2023-09-01,510500,etf,106628.0,0.16961487178731646,0.2,0.03038512821268355,628647.70569,133514.60569
2023-09-01,515180,etf,192007.80000000002,0.3054298906400261,0.2,-0.10542989064002611,628647.70569,133514.60569
2023-09-01,518880,etf,114469.5,0.18208847175280624,0.1,-0.08208847175280623,628647.70569,133514.60569
2023-09-01,000333,stock,0.0,0.0,0.04,0.04,628647.70569,133514.60569
2023-09-01,000858,stock,0.0,0.0,0.04,0.04,628647.70569,133514.60569
2023-09-01,600036,stock,0.0,0.0,0.04,0.04,628647.70569,133514.60569
2023-09-01,600519,stock,0.0,0.0,0.04,0.04,628647.70569,133514.60569
2023-09-01,601318,stock,0.0,0.0,0.04,0.04,628647.70569,133514.60569
2023-10-09,510300,etf,79554.6,0.12559019065496135,0.3,0.17440980934503864,633445.96887,135552.86886999998
2023-10-09,510500,etf,104879.99999999999,0.16557055400809434,0.2,0.03442944599190567,633445.96887,135552.86886999998
2023-10-09,515180,etf,198487.99999999997,0.31334637799350334,0.2,-0.11334637799350333,633445.96887,135552.86886999998
2023-10-09,518880,etf,114970.5,0.18150008943161342,0.1,-0.08150008943161341,633445.96887,135552.86886999998
2023-10-09,000333,stock,0.0,0.0,0.04,0.04,633445.96887,135552.86886999998
2023-10-09,000858,stock,0.0,0.0,0.04,0.04,633445.96887,135552.86886999998
2023-10-09,600036,stock,0.0,0.0,0.04,0.04,633445.96887,135552.86886999998
