date,month,symbol,asset_type,target_weight,current_weight,recommended_amount,status,pause_buy,manual_review,reasons,manual_pause_buy,manual_force_review,thesis_broken,final_priority_level,final_reason_codes,final_human_readable_action,logic_note
2020-08-03,2020-08,518880,etf,0.1,0.15700969159212896,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-08-03,2020-08,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-08-03,2020-08,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-08-03,2020-08,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-08-03,2020-08,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-08-03,2020-08,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2020-09-01,2020-09,510300,etf,0.3,0.30267227859194745,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-09-01,2020-09,510500,etf,0.2,0.2016568588518269,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-09-01,2020-09,515180,etf,0.2,0.1295204090667291,8000.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2020-09-01,2020-09,518880,etf,0.1,0.148488118081762,0.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
